Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
25/08/04,1198.7,1198.7,979,985,987.95,17116372,172587.61
26/08/04,992,997,975.3,976.85,979,5055400,49828.65
27/08/04,982.4,982.4,958.55,961.2,962.65,3830750,37155.86
30/08/04,969.9,990,965,986.4,986.75,3058151,30051.06
31/08/04,986.5,990,976,987.8,988.1,2649332,26021.33
01/09/04,990,995,983.6,986,987.9,2491943,24662.36
02/09/04,989.9,1004.6,986,994,993.65,2669544,26614.26
03/09/04,1006,1100,990.35,998.7,997.85,1233732,12299.17
06/09/04,1039.9,1039.9,992.9,996.8,994.85,1129834,11285.54
07/09/04,1035,1035,995,995,995.6,721529,7196.11
08/09/04,996,1000.8,991.1,992.25,993.7,824248,8203.62
09/09/04,997,997.9,978.45,979.65,979.95,993398,9786.57
10/09/04,990,990,976,989.95,988.8,801884,7899.51
13/09/04,991,1015.5,991,1002.75,1003.5,2613114,26322.21
14/09/04,1005,1018.8,1002.95,1015.95,1015.65,1916934,19417.63
15/09/04,1018,1020,1001.2,1005,1006.1,1498536,15122.08
16/09/04,1007,1015,1002.5,1011,1008.45,919778,9288.06
17/09/04,1012,1029.9,1010.3,1029.9,1024.5,1828487,18670.47
20/09/04,1032.4,1036.9,1020.15,1022.5,1022.9,1069028,10998.44
21/09/04,1024.85,1048.5,1022,1047.4,1045.8,1737135,18058.22
22/09/04,1048.4,1056,1037.1,1049.9,1052.05,1921448,20128.57
23/09/04,1048,1049,1027,1028,1030.25,1977460,20522
24/09/04,1029.1,1040,1026,1027.6,1028.8,1010401,10446.93
27/09/04,1027.5,1032.5,1015,1019,1020.75,1028689,10517.68
28/09/04,1016,1027.4,1012.5,1016.2,1015.55,792427,8089.25
29/09/04,1019.25,1033,1016.15,1031,1031,1467147,15032.54
30/09/04,1035.6,1040.9,1020.65,1025.1,1027.1,1565179,16163.97
01/10/04,1029,1056.45,1026.35,1048.5,1047.7,1371111,14308.62
04/10/04,1057,1081,1054.45,1079.2,1076.5,1891228,20271.86
05/10/04,1080.3,1089,1075.5,1077.05,1080.7,1792661,19422.48
06/10/04,1081,1102.8,1075.05,1082,1081.6,2208833,24078.13
07/10/04,1083,1100,1083,1099.6,1097.1,1260016,13774.37
08/10/04,1098,1111,1095,1097.8,1098.05,1069865,11803.19
09/10/04,1099.9,1103.85,1094.25,1103,1100.65,258539,2843.38
11/10/04,1100,1111.5,1085,1089.6,1089.3,1166507,12820.16
12/10/04,1110,1115,1077.65,1080,1084.45,1950064,21321.21
14/10/04,1103,1124,1088.05,1117.5,1116.2,2403248,26622.34
15/10/04,1121.7,1141,1117.25,1127.6,1126,2224968,25126.93
18/10/04,1134,1142,1125.25,1134,1137.25,1711668,19436.43
19/10/04,1140.15,1148.7,1136.1,1143,1143.2,1470891,16800.75
20/10/04,1144.8,1149.9,1129,1134.2,1133.25,900854,10284.02
21/10/04,1137.25,1139,1122,1127,1125.55,801690,9056.53
25/10/04,1125,1127,1110.75,1118,1117.35,1173784,13114.29
26/10/04,1115.6,1140.95,1115.6,1140.2,1137.2,866595,9792.86
27/10/04,1142.25,1148,1135.2,1140.5,1139.9,979707,11192.47
28/10/04,1145,1174.8,1145,1164,1165.95,2323927,27073.16
29/10/04,1167.95,1167.95,1145.15,1158,1156.25,1082722,12506.91
01/11/04,1150,1174.45,1142.3,1170,1170.65,767196,8916.09
02/11/04,1130,1179.75,1125,1160.95,1159.7,1108005,12894.85
03/11/04,1161,1184,1161,1175.6,1175.2,1122267,13190.61
04/11/04,1181.75,1187.9,1167.7,1169,1170.4,819476,9649.17
05/11/04,1173.95,1180,1160,1165.9,1165.45,627981,7321.88
08/11/04,1165,1188.9,1156,1183,1184.15,1286466,15172.96
09/11/04,1187,1197.9,1177,1186.1,1188.4,917339,10910.98
10/11/04,1191,1199,1190.1,1195.4,1194.35,716799,8567.08
11/11/04,1199,1203.4,1191.1,1196,1196.25,654391,7841.91
